"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-02-17",,"76",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-02-18","0.00","78",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-02-19",,"77",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-02-20","0.71","77","87",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-02-21","0.00","72","86",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-02-22","0.04","66","74",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-02-23","0.00","64",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-02-24",,"69",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-02-25","0.39","73",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-02-26","0.47","72","84","68"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-02-27","1.54","64","77","61"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-02-28","0.00","64","69","62"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-02-29",,"68",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-01","0.00","65","73","62"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-02","0.12","67",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-03","0.00","65","73",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-04",,"66",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-05","0.00","66",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-06","0.00","66","75","60"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-07",,"67",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-08","0.00","67",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-09",,"71",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-10",,"73",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-11",,"73","84",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-12",,"71",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-13",,"72",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-14",,"76","91",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-15","0.00","76",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-16","0.00","77","88","71"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-17","0.00","74",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-18","0.00","74",,"68"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-19","0.20","76",,"72"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-20","0.00","73","83","69"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-21","0.00","69","80",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-22","0.00","68",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-23","0.00","68",,"63"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-24","0.00","67","76","62"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-25","0.00","67","75",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-26","0.00","67",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-27","0.00","68",,"62"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-28","0.00","71",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-29","0.00","72","83",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-30","1.30","72","82","67"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-03-31","0.00","71","81","64"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-01","0.00","70","80","64"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-02","0.00","75",,"67"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-03","0.04","74","86",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-04","0.00","67","83",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-05","0.00","67",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-06","0.00","73",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-07","0.00","70",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-08",,"64","73",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-09","0.00","63",,"57"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-10",,"63",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-11","0.00","64","73","60"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-12",,"65",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-13","0.00","65",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-14",,"67",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-15","0.00","69",,"63"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-16","0.00","67",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-17",,"63",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-18","0.00","64",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-19","0.00","65",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-20","0.00","65",,"57"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-21","0.00","66",,"58"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-22","0.00","65","77",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-23","0.00","65","74","58"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-24",,"67",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-25",,"70",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-26","0.00","71","82",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-27","0.00","67","80",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-28",,"68",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-29","0.00","69",,"62"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-04-30",,"71",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-01","0.00","70",,"62"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-02","0.00","69","81",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-03","0.00","62","77",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-04","0.00","62",,"57"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-05","0.00","67",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-06","0.00","69","79",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-07","0.20","57","79",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-08","0.00","58",,"55"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-09",,"62",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-10","0.00","64",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-11",,"66",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-12",,"67",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-13","0.00","67","79",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-14",,"65",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-15","0.00","60","69",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-16",,"63",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-17","0.00","63",,"53"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-18","0.00","62",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-19","0.00","64","76",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-20","0.00","66",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-21","0.00","68","78","61"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-22","0.00","71",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-23","0.00","69","79",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-24","0.00","56","69",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-25",,"58",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-26","0.00","58",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-27",,"58",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-28","0.00","57",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-29",,"61",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-30","0.00","64",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-05-31",,"64","77",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-06-01","0.00","65",,"56"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-06-02","0.00","62","78",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-06-03","0.08","63",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-06-04","0.00","64",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-06-05","0.04","66",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-06-06","0.00","69",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-06-07","0.79","69","75","64"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-06-08","0.00","69",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-06-09","0.00","70",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-06-10",,"71",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-06-11","0.00","74",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-06-12",,"73",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-06-13","0.00","72",,
